,symbol,historical
19,AAPL,"{'date': '2020-06-05', 'open': 323.35, 'high': 331.75, 'low': 323.23, 'close': 331.5, 'adjClose': 331.5, 'volume': 34312600.0, 'unadjustedVolume': 34312600.0, 'change': 8.15, 'changePercent': 2.52, 'vwap': 328.82667, 'label': 'June 05, 20', 'changeOverTime': 0.0252}"
20,AAPL,"{'date': '2020-06-04', 'open': 324.39, 'high': 325.62, 'low': 320.78, 'close': 322.32, 'adjClose': 322.32, 'volume': 21890100.0, 'unadjustedVolume': 21890100.0, 'change': -2.07, 'changePercent': -0.638, 'vwap': 322.90667, 'label': 'June 04, 20', 'changeOverTime': -0.00638}"
21,AAPL,"{'date': '2020-06-03', 'open': 324.66, 'high': 326.2, 'low': 322.3, 'close': 325.12, 'adjClose': 325.12, 'volume': 26122800.0, 'unadjustedVolume': 26122800.0, 'change': 0.46, 'changePercent': 0.142, 'vwap': 324.54, 'label': 'June 03, 20', 'changeOverTime': 0.00142}"
22,AAPL,"{'date': '2020-06-02', 'open': 320.75, 'high': 323.44, 'low': 318.93, 'close': 323.34, 'adjClose': 323.34, 'volume': 21910700.0, 'unadjustedVolume': 21910700.0, 'change': 2.59, 'changePercent': 0.807, 'vwap': 321.90333, 'label': 'June 02, 20', 'changeOverTime': 0.00807}"
23,AAPL,"{'date': '2020-06-01', 'open': 317.75, 'high': 322.35, 'low': 317.21, 'close': 321.85, 'adjClose': 321.85, 'volume': 20197800.0, 'unadjustedVolume': 20197800.0, 'change': 4.1, 'changePercent': 1.29, 'vwap': 320.47, 'label': 'June 01, 20', 'changeOverTime': 0.0129}"
24,AAPL,"{'date': '2020-05-29', 'open': 319.25, 'high': 321.15, 'low': 316.47, 'close': 317.94, 'adjClose': 317.94, 'volume': 38383100.0, 'unadjustedVolume': 38383100.0, 'change': -1.31, 'changePercent': -0.41, 'vwap': 318.52, 'label': 'May 29, 20', 'changeOverTime': -0.0041}"
25,AAPL,"{'date': '2020-05-28', 'open': 316.77, 'high': 323.44, 'low': 315.63, 'close': 318.25, 'adjClose': 318.25, 'volume': 33390200.0, 'unadjustedVolume': 33390200.0, 'change': 1.48, 'changePercent': 0.467, 'vwap': 319.10667, 'label': 'May 28, 20', 'changeOverTime': 0.00467}"
26,AAPL,"{'date': '2020-05-27', 'open': 316.14, 'high': 318.71, 'low': 313.09, 'close': 318.11, 'adjClose': 318.11, 'volume': 28236300.0, 'unadjustedVolume': 28236300.0, 'change': 1.97, 'changePercent': 0.623, 'vwap': 316.63667, 'label': 'May 27, 20', 'changeOverTime': 0.00623}"
27,AAPL,"{'date': '2020-05-26', 'open': 323.5, 'high': 324.24, 'low': 316.5, 'close': 316.73, 'adjClose': 316.73, 'volume': 31380500.0, 'unadjustedVolume': 31380500.0, 'change': -6.77, 'changePercent': -2.093, 'vwap': 319.15667, 'label': 'May 26, 20', 'changeOverTime': -0.02093}"
28,AAPL,"{'date': '2020-05-22', 'open': 315.77, 'high': 319.23, 'low': 315.37, 'close': 318.89, 'adjClose': 318.89, 'volume': 20450754.0, 'unadjustedVolume': 20450754.0, 'change': 3.12, 'changePercent': 0.988, 'vwap': 317.83, 'label': 'May 22, 20', 'changeOverTime': 0.00988}"
29,AAPL,"{'date': '2020-05-21', 'open': 318.66, 'high': 320.89, 'low': 315.87, 'close': 316.85, 'adjClose': 316.85, 'volume': 25672200.0, 'unadjustedVolume': 25672200.0, 'change': -1.81, 'changePercent': -0.568, 'vwap': 317.87, 'label': 'May 21, 20', 'changeOverTime': -0.00568}"
30,AAPL,"{'date': '2020-05-20', 'open': 316.68, 'high': 319.52, 'low': 316.52, 'close': 319.23, 'adjClose': 319.23, 'volume': 27876200.0, 'unadjustedVolume': 27876200.0, 'change': 2.55, 'changePercent': 0.805, 'vwap': 318.42333, 'label': 'May 20, 20', 'changeOverTime': 0.00805}"
31,AAPL,"{'date': '2020-05-19', 'open': 315.03, 'high': 318.52, 'low': 313.01, 'close': 313.14, 'adjClose': 313.14, 'volume': 25432400.0, 'unadjustedVolume': 25432400.0, 'change': -1.89, 'changePercent': -0.6, 'vwap': 314.89, 'label': 'May 19, 20', 'changeOverTime': -0.006}"
